card_id,card_number,card_number_masked,customer_id,issue_date,card_type,card_status,card_country,risk_segment
C0000000,4773946545710892,XXXX-XXXX-XXXX-0892,U494990,2022-01-06,CREDIT,ACTIVE,CA,MEDIUM
C0000001,4717477860648585,XXXX-XXXX-XXXX-8585,U561903,2020-08-05,CREDIT,ACTIVE,SG,LOW
C0000002,4822755454294024,XXXX-XXXX-XXXX-4024,U499072,2022-02-04,CREDIT,ACTIVE,AE,LOW
C0000003,4165227580872272,XXXX-XXXX-XXXX-2272,U730469,2021-08-25,PREPAID,ACTIVE,GB,LOW
C0000004,4466714977913639,XXXX-XXXX-XXXX-3639,U139423,2022-07-18,CREDIT,ACTIVE,CA,LOW
C0000005,4905523704591542,XXXX-XXXX-XXXX-1542,U168708,2022-03-09,DEBIT,ACTIVE,US,LOW
C0000006,4669809403065644,XXXX-XXXX-XXXX-5644,U493436,2020-09-30,CREDIT,ACTIVE,AE,MEDIUM
C0000007,4841683874788326,XXXX-XXXX-XXXX-8326,U908277,2021-05-05,CREDIT,ACTIVE,IN,LOW
C0000008,4786917803647968,XXXX-XXXX-XXXX-7968,U698365,2022-03-12,CREDIT,ACTIVE,US,LOW
C0000009,4245471145307051,XXXX-XXXX-XXXX-7051,U495651,2023-02-10,CREDIT,ACTIVE,GB,LOW
C0000010,4553570905665653,XXXX-XXXX-XXXX-5653,U603285,2023-09-13,DEBIT,ACTIVE,IN,LOW
C0000011,4992658534033039,XXXX-XXXX-XXXX-3039,U131223,2021-02-01,DEBIT,ACTIVE,IN,MEDIUM
C0000012,4557025050151262,XXXX-XXXX-XXXX-1262,U805507,2024-08-20,DEBIT,ACTIVE,IN,LOW
C0000013,4106140900476643,XXXX-XXXX-XXXX-6643,U794396,2023-05-13,CREDIT,ACTIVE,US,LOW
C0000014,4696314956254973,XXXX-XXXX-XXXX-4973,U501540,2020-10-09,DEBIT,ACTIVE,IN,LOW
C0000015,4342581180053810,XXXX-XXXX-XXXX-3810,U405049,2024-06-23,PREPAID,ACTIVE,IN,HIGH
C0000016,4778742611402635,XXXX-XXXX-XXXX-2635,U745200,2023-09-03,DEBIT,ACTIVE,SG,LOW
C0000017,4704022023634493,XXXX-XXXX-XXXX-4493,U749454,2021-06-04,CREDIT,ACTIVE,AE,MEDIUM
C0000018,4719456632984927,XXXX-XXXX-XXXX-4927,U488883,2021-06-08,CREDIT,ACTIVE,IN,LOW
C0000019,4786870416146273,XXXX-XXXX-XXXX-6273,U261510,2022-04-19,DEBIT,ACTIVE,IN,LOW
C0000020,4170592999927934,XXXX-XXXX-XXXX-7934,U932607,2024-08-09,DEBIT,ACTIVE,IN,HIGH
C0000021,4418154823035810,XXXX-XXXX-XXXX-5810,U520396,2023-08-23,DEBIT,ACTIVE,US,HIGH
C0000022,4571725422441610,XXXX-XXXX-XXXX-1610,U526139,2023-10-04,DEBIT,ACTIVE,IN,LOW
C0000023,4363678262912669,XXXX-XXXX-XXXX-2669,U108924,2024-03-03,DEBIT,ACTIVE,IN,MEDIUM
C0000024,4281232438731188,XXXX-XXXX-XXXX-1188,U693479,2023-05-26,CREDIT,ACTIVE,SG,LOW
C0000025,4236450374127269,XXXX-XXXX-XXXX-7269,U227135,2022-08-01,DEBIT,ACTIVE,AE,LOW
C0000026,4952886348312027,XXXX-XXXX-XXXX-2027,U361825,2022-11-23,DEBIT,ACTIVE,IN,LOW
C0000027,4298794350975150,XXXX-XXXX-XXXX-5150,U972435,2024-08-14,CREDIT,ACTIVE,SG,MEDIUM
C0000028,4518854695451159,XXXX-XXXX-XXXX-1159,U384335,2020-02-07,CREDIT,ACTIVE,IN,MEDIUM
C0000029,4379982624607720,XXXX-XXXX-XXXX-7720,U104776,2024-05-11,DEBIT,ACTIVE,AE,LOW
C0000030,4179263672087467,XXXX-XXXX-XXXX-7467,U639443,2023-05-08,DEBIT,ACTIVE,GB,HIGH
C0000031,4499305007418745,XXXX-XXXX-XXXX-8745,U490328,2020-09-01,DEBIT,ACTIVE,IN,MEDIUM
C0000032,4121832965359693,XXXX-XXXX-XXXX-9693,U555696,2024-04-25,CREDIT,ACTIVE,AE,MEDIUM
C0000033,4084387389846942,XXXX-XXXX-XXXX-6942,U843357,2020-08-10,DEBIT,ACTIVE,IN,LOW
C0000034,4488575083721322,XXXX-XXXX-XXXX-1322,U696577,2021-06-17,DEBIT,ACTIVE,IN,LOW
C0000035,4148206339759556,XXXX-XXXX-XXXX-9556,U856713,2020-06-29,DEBIT,ACTIVE,CA,LOW
C0000036,4933017383251814,XXXX-XXXX-XXXX-1814,U823924,2022-01-04,CREDIT,ACTIVE,IN,MEDIUM
C0000037,4250517968174673,XXXX-XXXX-XXXX-4673,U516706,2021-01-30,CREDIT,ACTIVE,AE,LOW
C0000038,4412561188942898,XXXX-XXXX-XXXX-2898,U436765,2024-04-24,CREDIT,ACTIVE,US,LOW
C0000039,4268682366624258,XXXX-XXXX-XXXX-4258,U995122,2023-06-22,CREDIT,ACTIVE,IN,LOW
C0000040,4146171923013578,XXXX-XXXX-XXXX-3578,U842196,2021-06-25,DEBIT,ACTIVE,IN,LOW
C0000041,4577401536133103,XXXX-XXXX-XXXX-3103,U510091,2020-07-15,DEBIT,ACTIVE,IN,LOW
C0000042,4591135159954292,XXXX-XXXX-XXXX-4292,U712642,2023-09-27,DEBIT,ACTIVE,AE,MEDIUM
C0000043,4536500434753936,XXXX-XXXX-XXXX-3936,U543774,2020-11-04,DEBIT,ACTIVE,US,LOW
